Date : 2024-01-08 16:58:04
Directory : /Users/siyao/Documents/DMP/DMPReborn
Total : 352 files,  46168 codes, 7650 comments, 5594 blanks, all 59412 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/studyProcedure.ts                                           | TypeScript         |        130 |         55 |          5 |        190 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/type.ts                                                     | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/userProcedure.ts                                            | TypeScript         |        685 |        326 |         56 |      1,067 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/ts-essentials.d.ts                                                          | TypeScript         |          0 |          1 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/configManager.ts                                                      | TypeScript         |         38 |          0 |          9 |         47 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/definition.ts                                                         | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/file.ts                                                               | TypeScript         |         29 |          2 |          6 |         37 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/mfa.ts                                                                | TypeScript         |         45 |          7 |         11 |         63 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/noop.ts                                                               | TypeScript         |          1 |          1 |          1 |          3 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/pubkeycrypto.ts                                                       | TypeScript         |        207 |         17 |         36 |        260 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/query.ts                                                              | TypeScript         |        429 |        156 |         19 |        604 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/regrex.ts                                                             | TypeScript         |         41 |          7 |          3 |         51 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/utils/userLoginUtils.ts                                                     | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/webdav/dmpWebDAV.ts                                                         | TypeScript         |        368 |         21 |         33 |        422 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/_loginHelper.ts                                                | TypeScript         |         29 |          8 |          5 |         42 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/file.test.ts                                                   | TypeScript         |        762 |         48 |         71 |        881 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/job.test.ts                                                    | TypeScript         |        707 |         20 |         47 |        774 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/log.test.ts                                                    | TypeScript         |        147 |          7 |         15 |        169 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/permission.test.ts                                             | TypeScript         |      3,005 |         63 |        105 |      3,173 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/standardization.test.ts                                        | TypeScript         |      1,444 |         31 |         44 |      1,519 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/study.test.ts                                                  | TypeScript         |      4,160 |        151 |        188 |      4,499 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/serverTests/users.test.ts                                                  | TypeScript         |      1,574 |         61 |        111 |      1,746 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/_loginHelper.ts                                                  | TypeScript         |         31 |          3 |          5 |         39 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/data.test.ts                                                     | TypeScript         |      2,727 |         13 |         12 |      2,752 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/drive.test.ts                                                    | TypeScript         |        608 |         12 |         17 |        637 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/job.test.ts                                                      | TypeScript         |         84 |         11 |          7 |        102 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/organisation.test.ts                                             | TypeScript         |        208 |         11 |          7 |        226 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/pubkey.test.ts                                                   | TypeScript         |         70 |         26 |          8 |        104 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/study.test.ts                                                    | TypeScript         |        730 |         22 |          7 |        759 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/trpcTests/user.test.ts                                                     | TypeScript         |        436 |         12 |          8 |        456 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/utils/database.ts                                                          | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/test/utils/trpc.ts                                                              | TypeScript         |         18 |          0 |          1 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/tsconfig.app.json                                                               | JSON               |         17 |          2 |          0 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/tsconfig.json                                                                   | JSON with Comments |         13 |          0 |          0 |         13 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/tsconfig.spec.json                                                              | JSON               |         15 |          2 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/webpack.config.js                                                               | JavaScript         |         16 |          0 |          6 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/.eslintrc.json                                                               | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/config/config.sample.json                                                    | JSON               |         40 |          0 |          0 |         40 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/jest.config.ts                                                               | TypeScript         |         10 |          1 |          1 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/project.json                                                                 | JSON               |         70 |          0 |          0 |         70 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/JSONStream.d.ts                                                          | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/database/database.ts                                                     | TypeScript         |         48 |          1 |          3 |         52 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/environments/environment.prod.ts                                         | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/environments/environment.ts                                              | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/index.ts                                                                 | TypeScript         |         60 |          1 |          9 |         70 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/jobDispatch/dispatcher.ts                                                | TypeScript         |         23 |          1 |          6 |         30 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/jobExecutorRunner.ts                                                     | TypeScript         |         40 |         20 |         10 |         70 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/jobHandlers/apiJobHandler.ts                                             | TypeScript         |         65 |          1 |         10 |         76 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/jobHandlers/jobHandlerInterface.ts                                       | TypeScript         |          6 |          5 |          3 |         14 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/jobHandlers/lxdJobHandler.ts                                             | TypeScript         |         46 |         10 |         13 |         69 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/objStore/objStore.ts                                                     | TypeScript         |          2 |          0 |          3 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/query/pipeLineGenerator.ts                                               | TypeScript         |        154 |         80 |         13 |        247 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/query/queryController.ts                                                 | TypeScript         |          0 |         87 |          2 |         89 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/server/router.ts                                                         | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/server/server.ts                                                         | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/utils/configManager.ts                                                   | TypeScript         |         29 |          0 |          9 |         38 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/utils/jobUtils.ts                                                        | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/src/utils/noop.ts                                                            | TypeScript         |          1 |          1 |          1 |          3 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator.json                                              | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator_error1.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator_error2.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator_error3.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator_error4.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/testFiles/JSONCurator_error5.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/unit_tests/_stubHelper.ts                                               | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/unit_tests/csvcurator.test.ts                                           | TypeScript         |        517 |          1 |         32 |        550 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/unit_tests/fieldcurator.test.ts                                         | TypeScript         |        335 |         12 |         19 |        366 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/test/unit_tests/jsoncurator.test.ts                                          | TypeScript         |        504 |          1 |         31 |        536 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/tsconfig.app.json                                                            | JSON               |         17 |          2 |          0 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/tsconfig.json                                                                | JSON with Comments |         13 |          0 |          0 |         13 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/tsconfig.spec.json                                                           | JSON               |         15 |          2 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-job-executor/webpack.config.js                                                            | JavaScript         |         16 |          0 |          6 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/.eslintrc.json                                                                     | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/.lib.swcrc                                                                         | JSON with Comments |         31 |          0 |          0 |         31 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/README.md                                                                          | Markdown           |          6 |          0 |          6 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/jest.config.ts                                                                     | TypeScript         |         13 |          3 |          2 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/package.json                                                                       | JSON               |          5 |          0 |          0 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/project.json                                                                       | JSON               |         34 |         12 |          0 |         46 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/appUsers.ts                                                            | TypeScript         |          2 |         44 |          5 |         51 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/config.ts                                                              | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/curation.ts                                                            | TypeScript         |         17 |         24 |          5 |         46 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/data.ts                                                                | TypeScript         |         96 |         64 |         15 |        175 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/doc.ts                                                                 | TypeScript         |         99 |          0 |          3 |        102 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/files.ts                                                               | TypeScript         |         27 |          0 |          3 |         30 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/index.ts                                                               | TypeScript         |         33 |          0 |          1 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/log.ts                                                                 | TypeScript         |          1 |         29 |          2 |         32 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/organisation.ts                                                        | TypeScript         |         66 |          0 |          5 |         71 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/permission.ts                                                          | TypeScript         |          1 |         70 |          5 |         76 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/projects.ts                                                            | TypeScript         |          3 |         59 |          4 |         66 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/pubkey.ts                                                              | TypeScript         |          1 |         63 |          7 |         71 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/query.ts                                                               | TypeScript         |          1 |         45 |          5 |         51 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/standardization.ts                                                     | TypeScript         |          1 |         55 |          4 |         60 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/study.ts                                                               | TypeScript         |        145 |          0 |         16 |        161 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/subscription.ts                                                        | TypeScript         |          1 |          9 |          3 |         13 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/user.ts                                                                | TypeScript         |        337 |          0 |         23 |        360 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/graphql/utils.ts                                                               | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/src/index.ts                                                                       | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/tsconfig.json                                                                      | JSON with Comments |         22 |          0 |          0 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/tsconfig.lib.json                                                                  | JSON               |         13 |          5 |          0 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-models/tsconfig.spec.json                                                                 | JSON               |         15 |          2 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/.eslintrc.json                                                                      | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/README.md                                                                           | Markdown           |          6 |          0 |          9 |         15 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/jest.config.ts                                                                      | TypeScript         |         15 |          1 |          1 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/package.json                                                                        | JSON               |          4 |          0 |          0 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/project.json                                                                        | JSON               |         46 |         10 |          0 |         56 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/src/databaseSetup/collectionsAndIndexes.ts                                          | TypeScript         |        151 |          4 |          8 |        163 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/src/databaseSetup/seed/organisations.ts                                             | TypeScript         |         16 |          0 |          1 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/src/databaseSetup/seed/users.ts                                                     | TypeScript         |         46 |          0 |          1 |         47 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/src/index.ts                                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/src/runSetup.ts                                                                     | TypeScript         |         17 |          0 |          3 |         20 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/tsconfig.json                                                                       | JSON with Comments |         19 |          0 |          0 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/tsconfig.lib.json                                                                   | JSON               |         17 |          2 |          0 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-setup/tsconfig.spec.json                                                                  | JSON               |         21 |          2 |          0 |         23 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/.eslintrc.json                                                                      | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/.lib.swcrc                                                                          | JSON with Comments |         31 |          0 |          0 |         31 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/README.md                                                                           | Markdown           |          6 |          0 |          6 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/jest.config.ts                                                                      | TypeScript         |         13 |          3 |          2 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/package.json                                                                        | JSON               |          5 |          0 |          0 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/project.json                                                                        | JSON               |         34 |         12 |          1 |         47 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/devices.ts                                                                      | TypeScript         |         25 |          0 |          1 |         26 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/index.ts                                                                        | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/base.ts                                                                   | TypeScript         |         25 |          0 |          3 |         28 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/cache.ts                                                                  | TypeScript         |         11 |          1 |          2 |         14 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/config.ts                                                                 | TypeScript         |        180 |          2 |         18 |        200 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/data.ts                                                                   | TypeScript         |         58 |          0 |          9 |         67 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/doc.ts                                                                    | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/drive.ts                                                                  | TypeScript         |         24 |          1 |          4 |         29 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/file.ts                                                                   | TypeScript         |         47 |          3 |          5 |         55 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/group.ts                                                                  | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/index.ts                                                                  | TypeScript         |         38 |          0 |          3 |         41 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/job.ts                                                                    | TypeScript         |         61 |          2 |          9 |         72 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/log.ts                                                                    | TypeScript         |         81 |         10 |         16 |        107 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/organisation.ts                                                           | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/permission.ts                                                             | TypeScript         |         32 |          9 |          9 |         50 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/pubkey.ts                                                                 | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/query.ts                                                                  | TypeScript         |         62 |          1 |          8 |         71 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/reserved.ts                                                               | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/response.ts                                                               | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/standardization.ts                                                        | TypeScript         |         27 |          3 |          3 |         33 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/study.ts                                                                  | TypeScript         |         37 |         62 |         13 |        112 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/tree.ts                                                                   | TypeScript         |          0 |          7 |          1 |          8 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/user.ts                                                                   | TypeScript         |         34 |          0 |          6 |         40 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/src/types/utils.ts                                                                  | TypeScript         |         59 |          2 |          8 |         69 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/tsconfig.json                                                                       | JSON with Comments |         22 |          0 |          0 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/tsconfig.lib.json                                                                   | JSON               |         13 |          5 |          0 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-types/tsconfig.spec.json                                                                  | JSON               |         15 |          2 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/.eslintrc.json                                                               | JSON with Comments |          7 |         23 |          0 |         30 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/cypress.config.ts                                                            | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/project.json                                                                 | JSON               |         36 |          0 |          0 |         36 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/src/e2e/app.cy.ts                                                            | TypeScript         |          8 |          2 |          4 |         14 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/src/fixtures/example.json                                                    | JSON               |          4 |          0 |          0 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/src/support/app.po.ts                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/src/support/commands.ts                                                      | TypeScript         |          8 |         24 |          2 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/src/support/e2e.ts                                                           | TypeScript         |          1 |         15 |          2 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react-e2e/tsconfig.json                                                                | JSON with Comments |         17 |          0 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/.eslintrc.json                                                                   | JSON with Comments |          7 |         31 |          0 |         38 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/jest.config.ts                                                                   | TypeScript         |         10 |          1 |          1 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/project.json                                                                     | JSON               |         95 |          0 |          0 |         95 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/proxy.conf.js                                                                    | JavaScript         |         56 |          0 |          1 |         57 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/App.tsx                                                                      | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/Fence.tsx                                                                    | TypeScript JSX     |         36 |          5 |          3 |         44 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/Providers.tsx                                                                | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/assets/manifest.json                                                         | JSON               |         15 |          0 |          0 |         15 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/apolloClient.ts                                                   | TypeScript         |         73 |          2 |          6 |         81 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/dataset/dataset.module.css                                        | CSS                |         64 |         26 |         12 |        102 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/dataset/dataset.tsx                                               | TypeScript JSX     |        103 |          1 |          9 |        113 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/dataset/index.tsx                                                 | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/index.tsx                                           | TypeScript JSX     |         67 |          7 |          2 |         76 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/projectPage.module.css                              | CSS                |         55 |          0 |          7 |         62 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/dashboard/dashboard.module.css           | CSS                |         65 |          2 |         14 |         81 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/dashboard/dashboardTab.tsx               | TypeScript JSX     |        106 |          2 |          5 |        113 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/dataStatistics/dataStatistics.module.css | CSS                |         39 |         12 |          6 |         57 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/dataStatistics/dataStatistics.tsx        | TypeScript JSX     |        123 |          6 |         14 |        143 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/fileRepo/fileRepo.module.css             | CSS                |         87 |         10 |         15 |        112 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/fileRepo/fileRepoTab.tsx                 | TypeScript JSX     |        330 |          4 |         16 |        350 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/datasetDetail/tabContent/index.tsx                                | TypeScript JSX     |          1 |          5 |          0 |          6 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/documents/document.module.css                                     | CSS                |         61 |         17 |         12 |         90 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/documents/documents.tsx                                           | TypeScript JSX     |        299 |          3 |         15 |        317 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/documents/index.tsx                                               | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/job/index.tsx                                                     | TypeScript JSX     |          9 |          0 |          3 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/job/job.module.css                                                | CSS                |         26 |         10 |          4 |         40 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/job/job.tsx                                                       | TypeScript JSX     |        286 |          2 |          5 |        293 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/login/login.module.css                                            | CSS                |        111 |         49 |         22 |        182 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-ui-react/src/components/login/login.tsx                                                   | TypeScript JSX     |        111 |          0 |          5 |        116 |
